doc_id	encoding	sentence	label	sentence_length
4390	utf-8	алай болса да июнну биринчи декадасыны ахырына британ бригадала аргентинлилени портстенлини къатында къуршоулайдыла эмда штурм этерге хазыр боладыла	karachay-balkar	148
3379	utf-8	בשנת תרצו נפטר גם הרב חסמן ובמקומו נתמנה הרב מאיר חדש למנהל הרוחני	hebrew	66
2410	utf-8	teda on süüdistatud holokausti eitamises	estonian	40
1681	utf-8	lielākais ganimēda veidojums ir tumšs plakans līdzenums ar koncentriskām kalnu grēdām	latvian	85
3262	utf-8	ꭽꮻꮎꮧꮲ ꮠꭲ ꭰᏸꮅ ꮪꮎꮩꮲꮹꮧꮢ ꮧꮒᏺꮅ ꮹꮧᏹ ꭴꮎꮴꮅ ꭴꮟꮹ ꮧꮃꮡꮆ ꭰꮵꮔꮙꮻꮝꭼ ꮎꮝꭹꮎꭲ santa ꭷꮅꭲ ꮎꮏ ꭿꭰ ꮢꮓᏹ ꭴꮣꮇꮈ ꮣꮒꮝꮣᏺꭿꮂ ꭰꮄ ꮎꮝꭹꮎꭲ ꮎꮝꭶꮕꮕꭰ nicholas ꭷꮅꭲ ꮎꮏ ꭴꮝꭹᏹ th ꭿꭰ ꮢꭿᏸ ꭴꮴꮅ ꮎꮝꭶꮕꮕꭰ ꭴꮴꮅ ꭲꭶ	cherokee	155
4654	utf-8	almasi bi mooy tekki ku yàlla fal ngir liggéeyal ko	wolof	51
5840	utf-8	torna torna fratre alu eminescu sic transit anvetsu ti noi imn aradã evluvisire aynãnyispiri arhealoyie o cãndunji ti arupi dorlu vidzuta vrutiei vrearea cnticlu a xinitlui diaspora invocatsie vlahie di cãnticu euridice perpetuum destin miryiuloaie eleyie	aromanian	255
5559	utf-8	dva kilometra prije ušća pridružuje se lijeva pritoka krapanski potok koji izvire ispod labina	croatian	94
2405	utf-8	berdampingan dengan anggapan kekuasaan menungsa kita sering menganggap ini agak radikal karena kelemahan dan singkatnya kehidupan menungsa dalam kitab suci yahudi misalnya kekuasaan menungsa dijanjikan dalam kejadian  tetapi pengarang kitab pengkhotbah meratapi kesiasiaan semua usaha menungsa	banyumasan	293
3797	utf-8	köyde ilköğretim okulu vardır	turkish	29
809	utf-8	spes però vinars al è un dì che al puarte sfortune in particolâr se il  di un mês il  intai paîs di lenghe inglês al cole di vinars	friulian	131
