index	predict	true	sentence
test2.txt@0	spanish	english	toirmisceadh go docht ábhair a measaíodh gur dhochar don réimeas nó didé-eolaíochtaí cumannacha i gcoitinne iad
test2.txt@1	portugeese	english	chuimsigh sainmhíniú na nithe a dfhéadfadh a bheith dochrach roinnt catagóirí éagsúla
test2.txt@0	portugeese	english	bhí sé ina bhaill de chumann bhraithreachas poblachta na héireann agus fuair cead cumainn a chur ar bun i gconamara
test2.txt@1	spanish	english	bunaíodh ceithre chathlán i gconamara agus bhí ó gaora i gceannas ar chathlán a dó
test2.txt@2	portugeese	english	gabhadh é i mbliain éirí amach na cásca
test.txt@0	french	english	les supporters de lasm clermont auvergne ont reçu en   et  le prix de l’éthique et de la convivialité challenge des meilleurs supporters du top
test.txt@0	french	english	ralph staub est un réalisateur producteur scénariste acteur monteur et directeur de la photographie américain né le  juillet  à chicago illinois états-unis décédé le  octobre
test.txt@0	portugeese	english	zvi zamir hebrew צבי זמיר‎ born zvicka zarzevsky born  was a major general in the israel defense forces and the director of the mossad from  to
test.txt@1	english	english	born in poland zamir immigrated with his family to the then british mandate of palestine when only seven months old
test.txt@2	english	english	at the age of  zamir began his military career first as a soldier in the haganahs palmach a unit that included future israeli leaders among the likes of moshe dayan and yitzhak rabin
test.txt@3	english	english	during the  arab–israeli war zamir fought in the newly created israel defense forces
test.txt@4	english	english	after the war he continued climbing the chain of command eventually promoted to the commander of the southern command
test.txt@5	english	english	his final idf post before being appointed mossad director came in  when he was appointed the military attaché to london
test.txt@0	english	english	texas a&m hired kennedy in may  after mark turgeon left for the maryland head coaching job
test.txt@1	english	english	kennedy previously coached at a&m from -
test.txt@2	english	english	kennedy stated at the press conference that a&m is his destination job and he plans to retire there
test.txt@3	english	english	he was given the honors of sec mens basketball coach of the year in
test.txt@0	spanish	english	riechstörung oder dysosmie ist der oberbegriff für verschiedene störungen der olfaktorischen wahrnehmung
test.txt@1	french	english	riechstörungen bei schädigung höherer verarbeitungszentren werden als zentrale dysosmie bezeichnet
test.txt@0	portugeese	english	de acordo com lívio em  ac os volscos e os latinos uniram suas forças em sátrico
test.txt@1	spanish	english	o exército romano comandado pelos tribunos consulares públio valério potito publícola e lúcio emílio mamercino marcharam contra eles
test.txt@2	spanish	english	a batalha que se seguiu foi interrompida no primeiro dia por uma tempestade
test.txt@3	spanish	english	no segundo os latinos resistiram aos romanos por algum tempo pois já conheciam suas táticas mas uma carga de cavalaria desmantelou as linhas latinas e quanto a infantaria romana deu sequência ao ataque o exército latino foi derrotado
test.txt@4	spanish	english	volscos e latinos recuaram primeiro para sátrico e depois para âncio
test.txt@5	portugeese	english	os romanos perseguiram mas não tinham armas de cerco para atacarem âncio
test.txt@6	portugeese	english	depois de uma discussão sobre continuar a guerra ou pedir a paz as forças latinas partiram e os ancianos renderam sua cidade aos romanos
test.txt@7	spanish	english	furiosos os latinos atearam fogo a sátrico e queimaram a cidade toda exceto o templo de mater matuta — uma voz vinda do interior do templo teria ameaçado uma terrível punição se o fogo não fosse mantido longe do santuário
test.txt@8	spanish	english	em seguida os latinos atacaram túsculo que tomada de surpresa foi tomada com exceção da cidadela
test.txt@9	spanish	english	um exército romano liderado pelos tribunos consulares lúcio quíncio cincinato e sérvio sulpício pretextato marcharam com suas forças para libertar túsculo
test.txt@10	spanish	english	os latinos tentaram defender as muralhas mas pegos entre o assalto romano e a resistência dos tusculanos na cidadela acabaram todos mortos
test.txt@0	english	english	modellbildung von prozessen organisationen und organisationseinheiten zur entwicklung und umsetzung geeigneter strukturen für interoperable unternehmen und öffentliche organisationen
test.txt@0	spanish	english	em  ele entrou para o faces do subúrbio e era conhecido apenas por garnizé
test.txt@1	portugeese	english	antes disso porém ele foi baterista do grupo de thrash metal the ax
test.txt@0	portugeese	english	großbritannien übernahm  p- als vanguard i um sie in kanada als schulflugzeug für fortgeschrittene einzusetzen
test.txt@1	english	english	nach erfolgreichen versuchsflügen wurden die flugzeuge jedoch china überlassen wohin im rahmen des lend-lease-programms inklusive einiger exemplare der usaaf insgesamt  flugzeuge dieses typs geliefert wurden
test.txt@2	english	english	dort sollten sie einer staffel amerikanischer freiwilliger – der rd american volunteer group – zugeteilt werden
test.txt@3	english	english	diese zusätzliche gruppe wurde nach dem angriff auf pearl harbor jedoch aufgegeben
